Id,SampleInt,SampleDecimal,SampleString,SampleBool
2719,2718,2.718,2718,1
2720,2719,2.719,2719,0
2721,2720,2.720,2720,1
2722,2721,2.721,2721,0
2723,2722,2.722,2722,1
2724,2723,2.723,2723,0
2725,2724,2.724,2724,1
2726,2725,2.725,2725,0
2727,2726,2.726,2726,1
2728,2727,2.727,2727,0
2729,2728,2.728,2728,1
2730,2729,2.729,2729,0
2731,2730,2.730,2730,1
2732,2731,2.731,2731,0
2733,2732,2.732,2732,1
2734,2733,2.733,2733,0
2735,2734,2.734,2734,1
2736,2735,2.735,2735,0
2737,2736,2.736,2736,1
2738,2737,2.737,2737,0
2739,2738,2.738,2738,1
2740,2739,2.739,2739,0
2741,2740,2.740,2740,1
2742,2741,2.741,2741,0
2743,2742,2.742,2742,1
2744,2743,2.743,2743,0
2745,2744,2.744,2744,1
2746,2745,2.745,2745,0
2747,2746,2.746,2746,1
2748,2747,2.747,2747,0
2749,2748,2.748,2748,1
2750,2749,2.749,2749,0
2751,2750,2.750,2750,1
2752,2751,2.751,2751,0
2753,2752,2.752,2752,1
2754,2753,2.753,2753,0
2755,2754,2.754,2754,1
2756,2755,2.755,2755,0
2757,2756,2.756,2756,1
2758,2757,2.757,2757,0
2759,2758,2.758,2758,1
2760,2759,2.759,2759,0
2761,2760,2.760,2760,1
2762,2761,2.761,2761,0
2763,2762,2.762,2762,1
2764,2763,2.763,2763,0
2765,2764,2.764,2764,1
2766,2765,2.765,2765,0
2767,2766,2.766,2766,1
2768,2767,2.767,2767,0
2769,2768,2.768,2768,1
2770,2769,2.769,2769,0
2771,2770,2.770,2770,1
2772,2771,2.771,2771,0
2773,2772,2.772,2772,1
2774,2773,2.773,2773,0
2775,2774,2.774,2774,1
2776,2775,2.775,2775,0
2777,2776,2.776,2776,1
2778,2777,2.777,2777,0
2779,2778,2.778,2778,1
2780,2779,2.779,2779,0
2781,2780,2.780,2780,1
2782,2781,2.781,2781,0
2783,2782,2.782,2782,1
2784,2783,2.783,2783,0
2785,2784,2.784,2784,1
2786,2785,2.785,2785,0
2787,2786,2.786,2786,1
2788,2787,2.787,2787,0
2789,2788,2.788,2788,1
2790,2789,2.789,2789,0
2791,2790,2.790,2790,1
2792,2791,2.791,2791,0
2793,2792,2.792,2792,1
2794,2793,2.793,2793,0
2795,2794,2.794,2794,1
2796,2795,2.795,2795,0
2797,2796,2.796,2796,1
2798,2797,2.797,2797,0
2799,2798,2.798,2798,1
2800,2799,2.799,2799,0
2801,2800,2.800,2800,1
2802,2801,2.801,2801,0
2803,2802,2.802,2802,1
2804,2803,2.803,2803,0
2805,2804,2.804,2804,1
2806,2805,2.805,2805,0
2807,2806,2.806,2806,1
2808,2807,2.807,2807,0
2809,2808,2.808,2808,1
2810,2809,2.809,2809,0
2811,2810,2.810,2810,1
2812,2811,2.811,2811,0
2813,2812,2.812,2812,1
2814,2813,2.813,2813,0
2815,2814,2.814,2814,1
2816,2815,2.815,2815,0
2817,2816,2.816,2816,1
2818,2817,2.817,2817,0
2819,2818,2.818,2818,1
2820,2819,2.819,2819,0
2821,2820,2.820,2820,1
2822,2821,2.821,2821,0
2823,2822,2.822,2822,1
2824,2823,2.823,2823,0
2825,2824,2.824,2824,1
2826,2825,2.825,2825,0
2827,2826,2.826,2826,1
2828,2827,2.827,2827,0
2829,2828,2.828,2828,1
2830,2829,2.829,2829,0
2831,2830,2.830,2830,1
2832,2831,2.831,2831,0
2833,2832,2.832,2832,1
2834,2833,2.833,2833,0
2835,2834,2.834,2834,1
2836,2835,2.835,2835,0
2837,2836,2.836,2836,1
2838,2837,2.837,2837,0
2839,2838,2.838,2838,1
2840,2839,2.839,2839,0
2841,2840,2.840,2840,1
2842,2841,2.841,2841,0
2843,2842,2.842,2842,1
2844,2843,2.843,2843,0
2845,2844,2.844,2844,1
2846,2845,2.845,2845,0
2847,2846,2.846,2846,1
2848,2847,2.847,2847,0
2849,2848,2.848,2848,1
2850,2849,2.849,2849,0
2851,2850,2.850,2850,1
2852,2851,2.851,2851,0
2853,2852,2.852,2852,1
2854,2853,2.853,2853,0
2855,2854,2.854,2854,1
2856,2855,2.855,2855,0
2857,2856,2.856,2856,1
2858,2857,2.857,2857,0
2859,2858,2.858,2858,1
2860,2859,2.859,2859,0
2861,2860,2.860,2860,1
2862,2861,2.861,2861,0
2863,2862,2.862,2862,1
2864,2863,2.863,2863,0
2865,2864,2.864,2864,1
2866,2865,2.865,2865,0
2867,2866,2.866,2866,1
2868,2867,2.867,2867,0
2869,2868,2.868,2868,1
2870,2869,2.869,2869,0
2871,2870,2.870,2870,1
2872,2871,2.871,2871,0
2873,2872,2.872,2872,1
2874,2873,2.873,2873,0
2875,2874,2.874,2874,1
2876,2875,2.875,2875,0
2877,2876,2.876,2876,1
2878,2877,2.877,2877,0
2879,2878,2.878,2878,1
2880,2879,2.879,2879,0
2881,2880,2.880,2880,1
2882,2881,2.881,2881,0
2883,2882,2.882,2882,1
2884,2883,2.883,2883,0
2885,2884,2.884,2884,1
2886,2885,2.885,2885,0
2887,2886,2.886,2886,1
2888,2887,2.887,2887,0
2889,2888,2.888,2888,1
2890,2889,2.889,2889,0
2891,2890,2.890,2890,1
2892,2891,2.891,2891,0
2893,2892,2.892,2892,1
2894,2893,2.893,2893,0
2895,2894,2.894,2894,1
2896,2895,2.895,2895,0
2897,2896,2.896,2896,1
2898,2897,2.897,2897,0
2899,2898,2.898,2898,1
2900,2899,2.899,2899,0
2901,2900,2.900,2900,1
2902,2901,2.901,2901,0
2903,2902,2.902,2902,1
2904,2903,2.903,2903,0
2905,2904,2.904,2904,1
2906,2905,2.905,2905,0
2907,2906,2.906,2906,1
2908,2907,2.907,2907,0
2909,2908,2.908,2908,1
2910,2909,2.909,2909,0
2911,2910,2.910,2910,1
2912,2911,2.911,2911,0
2913,2912,2.912,2912,1
2914,2913,2.913,2913,0
2915,2914,2.914,2914,1
2916,2915,2.915,2915,0
2917,2916,2.916,2916,1
2918,2917,2.917,2917,0
2919,2918,2.918,2918,1
2920,2919,2.919,2919,0
2921,2920,2.920,2920,1
2922,2921,2.921,2921,0
2923,2922,2.922,2922,1
2924,2923,2.923,2923,0
2925,2924,2.924,2924,1
2926,2925,2.925,2925,0
2927,2926,2.926,2926,1
2928,2927,2.927,2927,0
2929,2928,2.928,2928,1
2930,2929,2.929,2929,0
2931,2930,2.930,2930,1
2932,2931,2.931,2931,0
2933,2932,2.932,2932,1
2934,2933,2.933,2933,0
2935,2934,2.934,2934,1
2936,2935,2.935,2935,0
2937,2936,2.936,2936,1
2938,2937,2.937,2937,0
2939,2938,2.938,2938,1
2940,2939,2.939,2939,0
2941,2940,2.940,2940,1
2942,2941,2.941,2941,0
2943,2942,2.942,2942,1
2944,2943,2.943,2943,0
2945,2944,2.944,2944,1
2946,2945,2.945,2945,0
2947,2946,2.946,2946,1
2948,2947,2.947,2947,0
2949,2948,2.948,2948,1
2950,2949,2.949,2949,0
2951,2950,2.950,2950,1
2952,2951,2.951,2951,0
2953,2952,2.952,2952,1
2954,2953,2.953,2953,0
2955,2954,2.954,2954,1
2956,2955,2.955,2955,0
2957,2956,2.956,2956,1
2958,2957,2.957,2957,0
2959,2958,2.958,2958,1
2960,2959,2.959,2959,0
2961,2960,2.960,2960,1
2962,2961,2.961,2961,0
2963,2962,2.962,2962,1
2964,2963,2.963,2963,0
2965,2964,2.964,2964,1
2966,2965,2.965,2965,0
2967,2966,2.966,2966,1
2968,2967,2.967,2967,0
2969,2968,2.968,2968,1
2970,2969,2.969,2969,0
2971,2970,2.970,2970,1
2972,2971,2.971,2971,0
2973,2972,2.972,2972,1
2974,2973,2.973,2973,0
2975,2974,2.974,2974,1
2976,2975,2.975,2975,0
2977,2976,2.976,2976,1
2978,2977,2.977,2977,0
2979,2978,2.978,2978,1
2980,2979,2.979,2979,0
2981,2980,2.980,2980,1
2982,2981,2.981,2981,0
2983,2982,2.982,2982,1
2984,2983,2.983,2983,0
2985,2984,2.984,2984,1
2986,2985,2.985,2985,0
2987,2986,2.986,2986,1
2988,2987,2.987,2987,0
2989,2988,2.988,2988,1
2990,2989,2.989,2989,0
2991,2990,2.990,2990,1
2992,2991,2.991,2991,0
2993,2992,2.992,2992,1
2994,2993,2.993,2993,0
2995,2994,2.994,2994,1
2996,2995,2.995,2995,0
2997,2996,2.996,2996,1
2998,2997,2.997,2997,0
2999,2998,2.998,2998,1
3000,2999,2.999,2999,0
3001,3000,3.000,3000,1
3002,3001,3.001,3001,0
3003,3002,3.002,3002,1
3004,3003,3.003,3003,0
3005,3004,3.004,3004,1
3006,3005,3.005,3005,0
3007,3006,3.006,3006,1
3008,3007,3.007,3007,0
3009,3008,3.008,3008,1
3010,3009,3.009,3009,0
3011,3010,3.010,3010,1
3012,3011,3.011,3011,0
3013,3012,3.012,3012,1
3014,3013,3.013,3013,0
3015,3014,3.014,3014,1
3016,3015,3.015,3015,0
3017,3016,3.016,3016,1
3018,3017,3.017,3017,0
3019,3018,3.018,3018,1
3020,3019,3.019,3019,0
3021,3020,3.020,3020,1
3022,3021,3.021,3021,0
3023,3022,3.022,3022,1
3024,3023,3.023,3023,0
3025,3024,3.024,3024,1
3026,3025,3.025,3025,0
3027,3026,3.026,3026,1
3028,3027,3.027,3027,0
3029,3028,3.028,3028,1
3030,3029,3.029,3029,0
3031,3030,3.030,3030,1
3032,3031,3.031,3031,0
3033,3032,3.032,3032,1
3034,3033,3.033,3033,0
3035,3034,3.034,3034,1
3036,3035,3.035,3035,0
3037,3036,3.036,3036,1
3038,3037,3.037,3037,0
3039,3038,3.038,3038,1
3040,3039,3.039,3039,0
3041,3040,3.040,3040,1
3042,3041,3.041,3041,0
3043,3042,3.042,3042,1
3044,3043,3.043,3043,0
3045,3044,3.044,3044,1
3046,3045,3.045,3045,0
3047,3046,3.046,3046,1
3048,3047,3.047,3047,0
3049,3048,3.048,3048,1
3050,3049,3.049,3049,0
3051,3050,3.050,3050,1
3052,3051,3.051,3051,0
3053,3052,3.052,3052,1
3054,3053,3.053,3053,0
3055,3054,3.054,3054,1
3056,3055,3.055,3055,0
3057,3056,3.056,3056,1
3058,3057,3.057,3057,0
3059,3058,3.058,3058,1
3060,3059,3.059,3059,0
3061,3060,3.060,3060,1
3062,3061,3.061,3061,0
3063,3062,3.062,3062,1
3064,3063,3.063,3063,0
3065,3064,3.064,3064,1
3066,3065,3.065,3065,0
3067,3066,3.066,3066,1
3068,3067,3.067,3067,0
3069,3068,3.068,3068,1
3070,3069,3.069,3069,0
3071,3070,3.070,3070,1
3072,3071,3.071,3071,0
3073,3072,3.072,3072,1
3074,3073,3.073,3073,0
3075,3074,3.074,3074,1
3076,3075,3.075,3075,0
3077,3076,3.076,3076,1
3078,3077,3.077,3077,0
3079,3078,3.078,3078,1
3080,3079,3.079,3079,0
3081,3080,3.080,3080,1
3082,3081,3.081,3081,0
3083,3082,3.082,3082,1
3084,3083,3.083,3083,0
3085,3084,3.084,3084,1
3086,3085,3.085,3085,0
3087,3086,3.086,3086,1
3088,3087,3.087,3087,0
3089,3088,3.088,3088,1
3090,3089,3.089,3089,0
3091,3090,3.090,3090,1
3092,3091,3.091,3091,0
3093,3092,3.092,3092,1
3094,3093,3.093,3093,0
3095,3094,3.094,3094,1
3096,3095,3.095,3095,0
3097,3096,3.096,3096,1
3098,3097,3.097,3097,0
3099,3098,3.098,3098,1
3100,3099,3.099,3099,0
3101,3100,3.100,3100,1
3102,3101,3.101,3101,0
3103,3102,3.102,3102,1
3104,3103,3.103,3103,0
3105,3104,3.104,3104,1
3106,3105,3.105,3105,0
3107,3106,3.106,3106,1
3108,3107,3.107,3107,0
3109,3108,3.108,3108,1
3110,3109,3.109,3109,0
3111,3110,3.110,3110,1
3112,3111,3.111,3111,0
3113,3112,3.112,3112,1
3114,3113,3.113,3113,0
3115,3114,3.114,3114,1
3116,3115,3.115,3115,0
3117,3116,3.116,3116,1
3118,3117,3.117,3117,0
3119,3118,3.118,3118,1
3120,3119,3.119,3119,0
3121,3120,3.120,3120,1
3122,3121,3.121,3121,0
3123,3122,3.122,3122,1
3124,3123,3.123,3123,0
3125,3124,3.124,3124,1
3126,3125,3.125,3125,0
3127,3126,3.126,3126,1
3128,3127,3.127,3127,0
3129,3128,3.128,3128,1
3130,3129,3.129,3129,0
3131,3130,3.130,3130,1
3132,3131,3.131,3131,0
3133,3132,3.132,3132,1
3134,3133,3.133,3133,0
3135,3134,3.134,3134,1
3136,3135,3.135,3135,0
3137,3136,3.136,3136,1
3138,3137,3.137,3137,0
3139,3138,3.138,3138,1
3140,3139,3.139,3139,0
3141,3140,3.140,3140,1
3142,3141,3.141,3141,0
3143,3142,3.142,3142,1
3144,3143,3.143,3143,0
3145,3144,3.144,3144,1
3146,3145,3.145,3145,0
3147,3146,3.146,3146,1
3148,3147,3.147,3147,0
3149,3148,3.148,3148,1
3150,3149,3.149,3149,0
3151,3150,3.150,3150,1
3152,3151,3.151,3151,0
3153,3152,3.152,3152,1
3154,3153,3.153,3153,0
3155,3154,3.154,3154,1
3156,3155,3.155,3155,0
3157,3156,3.156,3156,1
3158,3157,3.157,3157,0
3159,3158,3.158,3158,1
3160,3159,3.159,3159,0
3161,3160,3.160,3160,1
3162,3161,3.161,3161,0
3163,3162,3.162,3162,1
3164,3163,3.163,3163,0
3165,3164,3.164,3164,1
3166,3165,3.165,3165,0
3167,3166,3.166,3166,1
3168,3167,3.167,3167,0
3169,3168,3.168,3168,1
3170,3169,3.169,3169,0
3171,3170,3.170,3170,1
3172,3171,3.171,3171,0
3173,3172,3.172,3172,1
3174,3173,3.173,3173,0
3175,3174,3.174,3174,1
3176,3175,3.175,3175,0
3177,3176,3.176,3176,1
3178,3177,3.177,3177,0
3179,3178,3.178,3178,1
3180,3179,3.179,3179,0
3181,3180,3.180,3180,1
3182,3181,3.181,3181,0
3183,3182,3.182,3182,1
3184,3183,3.183,3183,0
3185,3184,3.184,3184,1
3186,3185,3.185,3185,0
3187,3186,3.186,3186,1
3188,3187,3.187,3187,0
3189,3188,3.188,3188,1
3190,3189,3.189,3189,0
3191,3190,3.190,3190,1
3192,3191,3.191,3191,0
3193,3192,3.192,3192,1
3194,3193,3.193,3193,0
3195,3194,3.194,3194,1
3196,3195,3.195,3195,0
3197,3196,3.196,3196,1
3198,3197,3.197,3197,0
3199,3198,3.198,3198,1
3200,3199,3.199,3199,0
3201,3200,3.200,3200,1
3202,3201,3.201,3201,0
3203,3202,3.202,3202,1
3204,3203,3.203,3203,0
3205,3204,3.204,3204,1
3206,3205,3.205,3205,0
3207,3206,3.206,3206,1
3208,3207,3.207,3207,0
3209,3208,3.208,3208,1
3210,3209,3.209,3209,0
3211,3210,3.210,3210,1
3212,3211,3.211,3211,0
3213,3212,3.212,3212,1
3214,3213,3.213,3213,0
3215,3214,3.214,3214,1
3216,3215,3.215,3215,0
3217,3216,3.216,3216,1
3218,3217,3.217,3217,0
3219,3218,3.218,3218,1
3220,3219,3.219,3219,0
3221,3220,3.220,3220,1
3222,3221,3.221,3221,0
3223,3222,3.222,3222,1
3224,3223,3.223,3223,0
3225,3224,3.224,3224,1
3226,3225,3.225,3225,0
3227,3226,3.226,3226,1
3228,3227,3.227,3227,0
3229,3228,3.228,3228,1
3230,3229,3.229,3229,0
3231,3230,3.230,3230,1
3232,3231,3.231,3231,0
3233,3232,3.232,3232,1
3234,3233,3.233,3233,0
3235,3234,3.234,3234,1
3236,3235,3.235,3235,0
3237,3236,3.236,3236,1
3238,3237,3.237,3237,0
3239,3238,3.238,3238,1
3240,3239,3.239,3239,0
3241,3240,3.240,3240,1
3242,3241,3.241,3241,0
3243,3242,3.242,3242,1
3244,3243,3.243,3243,0
3245,3244,3.244,3244,1
3246,3245,3.245,3245,0
3247,3246,3.246,3246,1
3248,3247,3.247,3247,0
3249,3248,3.248,3248,1
3250,3249,3.249,3249,0
3251,3250,3.250,3250,1
3252,3251,3.251,3251,0
3253,3252,3.252,3252,1
3254,3253,3.253,3253,0
3255,3254,3.254,3254,1
3256,3255,3.255,3255,0
3257,3256,3.256,3256,1
3258,3257,3.257,3257,0
3259,3258,3.258,3258,1
3260,3259,3.259,3259,0
3261,3260,3.260,3260,1
3262,3261,3.261,3261,0
3263,3262,3.262,3262,1
3264,3263,3.263,3263,0
3265,3264,3.264,3264,1
3266,3265,3.265,3265,0
3267,3266,3.266,3266,1
3268,3267,3.267,3267,0
3269,3268,3.268,3268,1
3270,3269,3.269,3269,0
3271,3270,3.270,3270,1
3272,3271,3.271,3271,0
3273,3272,3.272,3272,1
3274,3273,3.273,3273,0
3275,3274,3.274,3274,1
3276,3275,3.275,3275,0
3277,3276,3.276,3276,1
3278,3277,3.277,3277,0
3279,3278,3.278,3278,1
3280,3279,3.279,3279,0
3281,3280,3.280,3280,1
3282,3281,3.281,3281,0
3283,3282,3.282,3282,1
3284,3283,3.283,3283,0
3285,3284,3.284,3284,1
3286,3285,3.285,3285,0
3287,3286,3.286,3286,1
3288,3287,3.287,3287,0
3289,3288,3.288,3288,1
3290,3289,3.289,3289,0
3291,3290,3.290,3290,1
3292,3291,3.291,3291,0
3293,3292,3.292,3292,1
3294,3293,3.293,3293,0
3295,3294,3.294,3294,1
3296,3295,3.295,3295,0
3297,3296,3.296,3296,1
3298,3297,3.297,3297,0
3299,3298,3.298,3298,1
3300,3299,3.299,3299,0
3301,3300,3.300,3300,1
3302,3301,3.301,3301,0
3303,3302,3.302,3302,1
3304,3303,3.303,3303,0
3305,3304,3.304,3304,1
3306,3305,3.305,3305,0
3307,3306,3.306,3306,1
3308,3307,3.307,3307,0
3309,3308,3.308,3308,1
3310,3309,3.309,3309,0
3311,3310,3.310,3310,1
3312,3311,3.311,3311,0
3313,3312,3.312,3312,1
3314,3313,3.313,3313,0
3315,3314,3.314,3314,1
3316,3315,3.315,3315,0
3317,3316,3.316,3316,1
3318,3317,3.317,3317,0
3319,3318,3.318,3318,1
3320,3319,3.319,3319,0
3321,3320,3.320,3320,1
3322,3321,3.321,3321,0
3323,3322,3.322,3322,1
3324,3323,3.323,3323,0
3325,3324,3.324,3324,1
3326,3325,3.325,3325,0
3327,3326,3.326,3326,1
3328,3327,3.327,3327,0
3329,3328,3.328,3328,1
3330,3329,3.329,3329,0
3331,3330,3.330,3330,1
3332,3331,3.331,3331,0
3333,3332,3.332,3332,1
3334,3333,3.333,3333,0
3335,3334,3.334,3334,1
3336,3335,3.335,3335,0
3337,3336,3.336,3336,1
3338,3337,3.337,3337,0
3339,3338,3.338,3338,1
3340,3339,3.339,3339,0
3341,3340,3.340,3340,1
3342,3341,3.341,3341,0
3343,3342,3.342,3342,1
3344,3343,3.343,3343,0
3345,3344,3.344,3344,1
3346,3345,3.345,3345,0
3347,3346,3.346,3346,1
3348,3347,3.347,3347,0
3349,3348,3.348,3348,1
3350,3349,3.349,3349,0
3351,3350,3.350,3350,1
3352,3351,3.351,3351,0
3353,3352,3.352,3352,1
3354,3353,3.353,3353,0
3355,3354,3.354,3354,1
3356,3355,3.355,3355,0
3357,3356,3.356,3356,1
3358,3357,3.357,3357,0
3359,3358,3.358,3358,1
3360,3359,3.359,3359,0
3361,3360,3.360,3360,1
3362,3361,3.361,3361,0
3363,3362,3.362,3362,1
3364,3363,3.363,3363,0
3365,3364,3.364,3364,1
3366,3365,3.365,3365,0
3367,3366,3.366,3366,1
3368,3367,3.367,3367,0
3369,3368,3.368,3368,1
3370,3369,3.369,3369,0
3371,3370,3.370,3370,1
3372,3371,3.371,3371,0
3373,3372,3.372,3372,1
3374,3373,3.373,3373,0
3375,3374,3.374,3374,1
3376,3375,3.375,3375,0
3377,3376,3.376,3376,1
3378,3377,3.377,3377,0
3379,3378,3.378,3378,1
3380,3379,3.379,3379,0
3381,3380,3.380,3380,1
3382,3381,3.381,3381,0
3383,3382,3.382,3382,1
3384,3383,3.383,3383,0
3385,3384,3.384,3384,1
3386,3385,3.385,3385,0
3387,3386,3.386,3386,1
3388,3387,3.387,3387,0
3389,3388,3.388,3388,1
3390,3389,3.389,3389,0
3391,3390,3.390,3390,1
3392,3391,3.391,3391,0
3393,3392,3.392,3392,1
3394,3393,3.393,3393,0
3395,3394,3.394,3394,1
3396,3395,3.395,3395,0
3397,3396,3.396,3396,1
3398,3397,3.397,3397,0
3399,3398,3.398,3398,1
3400,3399,3.399,3399,0
3401,3400,3.400,3400,1
3402,3401,3.401,3401,0
3403,3402,3.402,3402,1
3404,3403,3.403,3403,0
3405,3404,3.404,3404,1
3406,3405,3.405,3405,0
3407,3406,3.406,3406,1
3408,3407,3.407,3407,0
3409,3408,3.408,3408,1
3410,3409,3.409,3409,0
3411,3410,3.410,3410,1
3412,3411,3.411,3411,0
3413,3412,3.412,3412,1
3414,3413,3.413,3413,0
3415,3414,3.414,3414,1
3416,3415,3.415,3415,0
3417,3416,3.416,3416,1
3418,3417,3.417,3417,0
3419,3418,3.418,3418,1
3420,3419,3.419,3419,0
3421,3420,3.420,3420,1
3422,3421,3.421,3421,0
3423,3422,3.422,3422,1
3424,3423,3.423,3423,0
3425,3424,3.424,3424,1
3426,3425,3.425,3425,0
3427,3426,3.426,3426,1
3428,3427,3.427,3427,0
3429,3428,3.428,3428,1
3430,3429,3.429,3429,0
3431,3430,3.430,3430,1
3432,3431,3.431,3431,0
3433,3432,3.432,3432,1
3434,3433,3.433,3433,0
3435,3434,3.434,3434,1
3436,3435,3.435,3435,0
3437,3436,3.436,3436,1
3438,3437,3.437,3437,0
3439,3438,3.438,3438,1
3440,3439,3.439,3439,0
3441,3440,3.440,3440,1
3442,3441,3.441,3441,0
3443,3442,3.442,3442,1
3444,3443,3.443,3443,0
3445,3444,3.444,3444,1
3446,3445,3.445,3445,0
3447,3446,3.446,3446,1
3448,3447,3.447,3447,0
3449,3448,3.448,3448,1
3450,3449,3.449,3449,0
3451,3450,3.450,3450,1
3452,3451,3.451,3451,0
3453,3452,3.452,3452,1
3454,3453,3.453,3453,0
3455,3454,3.454,3454,1
3456,3455,3.455,3455,0
3457,3456,3.456,3456,1
3458,3457,3.457,3457,0
3459,3458,3.458,3458,1
3460,3459,3.459,3459,0
3461,3460,3.460,3460,1
3462,3461,3.461,3461,0
3463,3462,3.462,3462,1
3464,3463,3.463,3463,0
3465,3464,3.464,3464,1
3466,3465,3.465,3465,0
3467,3466,3.466,3466,1
3468,3467,3.467,3467,0
3469,3468,3.468,3468,1
3470,3469,3.469,3469,0
3471,3470,3.470,3470,1
3472,3471,3.471,3471,0
3473,3472,3.472,3472,1
3474,3473,3.473,3473,0
3475,3474,3.474,3474,1
3476,3475,3.475,3475,0
3477,3476,3.476,3476,1
3478,3477,3.477,3477,0
3479,3478,3.478,3478,1
3480,3479,3.479,3479,0
3481,3480,3.480,3480,1
3482,3481,3.481,3481,0
3483,3482,3.482,3482,1
3484,3483,3.483,3483,0
3485,3484,3.484,3484,1
3486,3485,3.485,3485,0
3487,3486,3.486,3486,1
3488,3487,3.487,3487,0
3489,3488,3.488,3488,1
3490,3489,3.489,3489,0
3491,3490,3.490,3490,1
3492,3491,3.491,3491,0
3493,3492,3.492,3492,1
3494,3493,3.493,3493,0
3495,3494,3.494,3494,1
3496,3495,3.495,3495,0
3497,3496,3.496,3496,1
3498,3497,3.497,3497,0
3499,3498,3.498,3498,1
3500,3499,3.499,3499,0
3501,3500,3.500,3500,1
3502,3501,3.501,3501,0
3503,3502,3.502,3502,1
3504,3503,3.503,3503,0
3505,3504,3.504,3504,1
3506,3505,3.505,3505,0
3507,3506,3.506,3506,1
3508,3507,3.507,3507,0
3509,3508,3.508,3508,1
3510,3509,3.509,3509,0
3511,3510,3.510,3510,1
3512,3511,3.511,3511,0
3513,3512,3.512,3512,1
3514,3513,3.513,3513,0
3515,3514,3.514,3514,1
3516,3515,3.515,3515,0
3517,3516,3.516,3516,1
3518,3517,3.517,3517,0
3519,3518,3.518,3518,1
3520,3519,3.519,3519,0
3521,3520,3.520,3520,1
3522,3521,3.521,3521,0
3523,3522,3.522,3522,1
3524,3523,3.523,3523,0
3525,3524,3.524,3524,1
3526,3525,3.525,3525,0
3527,3526,3.526,3526,1
3528,3527,3.527,3527,0
3529,3528,3.528,3528,1
3530,3529,3.529,3529,0
3531,3530,3.530,3530,1
3532,3531,3.531,3531,0
3533,3532,3.532,3532,1
3534,3533,3.533,3533,0
3535,3534,3.534,3534,1
3536,3535,3.535,3535,0
3537,3536,3.536,3536,1
3538,3537,3.537,3537,0
3539,3538,3.538,3538,1
3540,3539,3.539,3539,0
3541,3540,3.540,3540,1
3542,3541,3.541,3541,0
3543,3542,3.542,3542,1
3544,3543,3.543,3543,0
3545,3544,3.544,3544,1
3546,3545,3.545,3545,0
3547,3546,3.546,3546,1
3548,3547,3.547,3547,0
3549,3548,3.548,3548,1
3550,3549,3.549,3549,0
3551,3550,3.550,3550,1
3552,3551,3.551,3551,0
3553,3552,3.552,3552,1
3554,3553,3.553,3553,0
3555,3554,3.554,3554,1
3556,3555,3.555,3555,0
3557,3556,3.556,3556,1
3558,3557,3.557,3557,0
3559,3558,3.558,3558,1
3560,3559,3.559,3559,0
3561,3560,3.560,3560,1
3562,3561,3.561,3561,0
3563,3562,3.562,3562,1
3564,3563,3.563,3563,0
3565,3564,3.564,3564,1
3566,3565,3.565,3565,0
3567,3566,3.566,3566,1
3568,3567,3.567,3567,0
3569,3568,3.568,3568,1
3570,3569,3.569,3569,0
3571,3570,3.570,3570,1
3572,3571,3.571,3571,0
3573,3572,3.572,3572,1
3574,3573,3.573,3573,0
3575,3574,3.574,3574,1
3576,3575,3.575,3575,0
3577,3576,3.576,3576,1
3578,3577,3.577,3577,0
3579,3578,3.578,3578,1
3580,3579,3.579,3579,0
3581,3580,3.580,3580,1
3582,3581,3.581,3581,0
3583,3582,3.582,3582,1
3584,3583,3.583,3583,0
3585,3584,3.584,3584,1
3586,3585,3.585,3585,0
3587,3586,3.586,3586,1
3588,3587,3.587,3587,0
3589,3588,3.588,3588,1
3590,3589,3.589,3589,0
3591,3590,3.590,3590,1
3592,3591,3.591,3591,0
3593,3592,3.592,3592,1
3594,3593,3.593,3593,0
3595,3594,3.594,3594,1
3596,3595,3.595,3595,0
3597,3596,3.596,3596,1
3598,3597,3.597,3597,0
3599,3598,3.598,3598,1
3600,3599,3.599,3599,0
3601,3600,3.600,3600,1
3602,3601,3.601,3601,0
3603,3602,3.602,3602,1
3604,3603,3.603,3603,0
3605,3604,3.604,3604,1
3606,3605,3.605,3605,0
3607,3606,3.606,3606,1
3608,3607,3.607,3607,0
3609,3608,3.608,3608,1
3610,3609,3.609,3609,0
3611,3610,3.610,3610,1
3612,3611,3.611,3611,0
3613,3612,3.612,3612,1
3614,3613,3.613,3613,0
3615,3614,3.614,3614,1
3616,3615,3.615,3615,0
3617,3616,3.616,3616,1
3618,3617,3.617,3617,0
3619,3618,3.618,3618,1
3620,3619,3.619,3619,0
3621,3620,3.620,3620,1
3622,3621,3.621,3621,0
3623,3622,3.622,3622,1
3624,3623,3.623,3623,0
3625,3624,3.624,3624,1
3626,3625,3.625,3625,0
3627,3626,3.626,3626,1
3628,3627,3.627,3627,0
3629,3628,3.628,3628,1
3630,3629,3.629,3629,0
3631,3630,3.630,3630,1
3632,3631,3.631,3631,0
3633,3632,3.632,3632,1
3634,3633,3.633,3633,0
3635,3634,3.634,3634,1
3636,3635,3.635,3635,0
3637,3636,3.636,3636,1
3638,3637,3.637,3637,0
3639,3638,3.638,3638,1
3640,3639,3.639,3639,0
3641,3640,3.640,3640,1
3642,3641,3.641,3641,0
3643,3642,3.642,3642,1
3644,3643,3.643,3643,0
3645,3644,3.644,3644,1
3646,3645,3.645,3645,0
3647,3646,3.646,3646,1
3648,3647,3.647,3647,0
3649,3648,3.648,3648,1
